cf,name,last_name,birthdate,gender,city,gen1,gen2,partner_of
MRGFLC00B13D223J,Felice,Merighetto,2000-02-13,M,CUSIO,MRGFDR79D02D223E,BNNGLL81P21E715K,RCNGLL97C15G388I
MRGVDN00S08D223K,Verdiana,Merighetto,2000-11-08,F,CUSIO,MRGFDR79D02D223E,BNNGLL81P21E715K,BTTMTN00T13A345P
MRGGVR00A11D223Z,Ginevra,Merighetto,2000-01-11,F,CUSIO,MRGFDR79D02D223E,BNNGLL81P21E715K,BTTPQN00P14A345B
MRGLSE01B23D223B,Elisa,Merighetto,2001-02-23,F,CUSIO,MRGFDR79D02D223E,BNNGLL81P21E715K,BTTPNI02L14A345N
MRGPSC02E08D223X,Priscilla,Merighetto,2002-05-08,F,CUSIO,MRGFDR79D02D223E,BNNGLL81P21E715K,BNRMCR97A02G478A
PTRLND02D27E648F,Lando,Pietro,2002-04-27,M,LODI,PTRSLV81T10E648V,BNNPSC79B20E715W,
PTRTLL99T05E648H,Otello,Pietro,1999-12-05,M,LODI,PTRSLV81T10E648V,BNNPSC79B20E715W,BNNLBA00L01E715G
PTRMTN01D28E648L,Martino,Pietro,2001-04-28,M,LODI,PTRSLV81T10E648V,BNNPSC79B20E715W,LBRCDD02L16A794F
BTTGDL01T04A345C,Guendalina,Botta',2001-12-04,F,L'AQUILA,BTTSCR76P27A345M,BNNPIA79R28E715B,RCNCSR98B17G388S
BTTRRT99D19A345E,Roberto,Botta',1999-04-19,M,L'AQUILA,BTTSCR76P27A345M,BNNPIA79R28E715B,RCNPSQ01E06G388J
BTTLEO99P02A345Z,Leo,Botta',1999-09-02,M,L'AQUILA,BTTSCR76P27A345M,BNNPIA79R28E715B,RCNLNI01L25G388A
BTTMTN00T13A345P,Martino,Botta',2000-12-13,M,L'AQUILA,BTTSCR76P27A345M,BNNPIA79R28E715B,MRGVDN00S08D223K
BTTPQN00P14A345B,Pasquino,Botta',2000-09-14,M,L'AQUILA,BTTSCR76P27A345M,BNNPIA79R28E715B,MRGGVR00A11D223Z
BTTPMP98E09A345I,Pompeo,Botta',1998-05-09,M,L'AQUILA,BTTGTV76T30A345J,BTTRLN77L05A345C,PTRLDE88H11E648J
LCNCRL00D14H620M,Carlo,Luconi,2000-04-14,M,ROVIGO,LCNMRN75M28H620P,BRTSST79S15G482E,LBRLSS00R13A794C
LCNRLN02E19H620P,Rosalina,Luconi,2002-05-19,F,ROVIGO,LCNMRN75M28H620P,BRTSST79S15G482E,MRGCRI99T08D223S
LCNVNC01E04H620K,Veronica,Luconi,2001-05-04,F,ROVIGO,LCNMRN75M28H620P,BRTSST79S15G482E,LCNBNR02C05H620G
LCNLFA00H23H620Y,Alfo,Luconi,2000-06-23,M,ROVIGO,LCNMRN75M28H620P,BRTSST79S15G482E,BRTGTN00S21G482D
LCNGLL01B02H620B,Agnello,Luconi,2001-02-02,M,ROVIGO,LCNMRN75M28H620P,BRTSST79S15G482E,LBRPSQ98S24A794N
LBRFBA01E16A794C,Fabio,Alberici,2001-05-16,M,BERGAMO,LBRTCR81H28A794R,BRTGTT80T15G482P,RCNSLM00B08G388U
LBRRST00R14A794L,Ernesto,Alberici,2000-10-14,M,BERGAMO,LBRTCR81H28A794R,BRTGTT80T15G482P,RCNFPP97B25G388G
LBRFNN02C02A794V,Fernando,Alberici,2002-03-02,M,BERGAMO,LBRTCR81H28A794R,BRTGTT80T15G482P,LVNCSR02M25E281Z
LBRLSS00R13A794C,Alessia,Alberici,2000-10-13,F,BERGAMO,LBRTCR81H28A794R,BRTGTT80T15G482P,LCNCRL00D14H620M
LBRCST98T06A794J,Cristiano,Alberici,1998-12-06,M,BERGAMO,LBRTCR81H28A794R,BRTGTT80T15G482P,BNRMIA02B22G478Z
PTRMTT01D19E648S,Matteo,Pietro,2001-04-19,M,LODI,PTRLND79H29E648Q,LVNPSC79C19E281O,BTTSLL98T10A345F
PTRCSN02H28E648K,Cassandra,Pietro,2002-06-28,F,LODI,PTRLND79H29E648Q,LVNPSC79C19E281O,LVNGDE00A31E281G
PTRSLV00M02E648J,Salvo,Pietro,2000-08-02,M,LODI,PTRLND79H29E648Q,LVNPSC79C19E281O,BNNRCC01L15E715I
PTRNNZ99L16E648Y,Nunzio,Pietro,1999-07-16,M,LODI,PTRLND79H29E648Q,LVNPSC79C19E281O,LCNDLA99A27H620E
PTRCTL01M27E648I,Clotilde,Pietro,2001-08-27,F,LODI,PTRLND79H29E648Q,LVNPSC79C19E281O,RCNCVN98T13G388Q
BNRMIA02B22G478Z,Mia,Buonarrota,2002-02-22,F,PERUGIA,BNRNNI76A21G478Z,BTTGPP79M21A345X,LBRCST98T06A794J
BNRLND99A07G478O,Leonida,Buonarrota,1999-01-07,M,PERUGIA,BNRNNI76A21G478Z,BTTGPP79M21A345X,MRGGDI02B09D223I
BNRNDR00L15G478O,Andrea,Buonarrota,2000-07-15,M,PERUGIA,BNRNNI76A21G478Z,BTTGPP79M21A345X,RCNSNO01P11G388Y
BNRLCL99A12G478W,Lucilio,Buonarrota,1999-01-12,M,PERUGIA,BNRNNI76A21G478Z,BTTGPP79M21A345X,RCNNRO02A13G388N
BNRSLL99S18G478B,Stella,Buonarrota,1999-11-18,F,PERUGIA,BNRNNI76A21G478Z,BTTGPP79M21A345X,PTRLDR02S12E648Y
LBRMRZ01L26A794M,Maurizio,Alberici,2001-07-26,M,BERGAMO,LBRSST78R23A794J,BTTDBR79P12A345I,LCNRGN00T04H620Q
LBRLSN00E28A794L,Luisiana,Alberici,2000-05-28,F,BERGAMO,LBRSST78R23A794J,BTTDBR79P12A345I,RCNGLN98B01G388S
LBRLCA00D30A794Y,Alice,Alberici,2000-04-30,F,BERGAMO,LBRSST78R23A794J,BTTDBR79P12A345I,LBRDCC02B24A794U
LBRCDD02L16A794F,Candida,Alberici,2002-07-16,F,BERGAMO,LBRSST78R23A794J,BTTDBR79P12A345I,PTRMTN01D28E648L
LCNMIA00A04H620P,Mia,Luconi,2000-01-04,F,ROVIGO,LCNLRC77B01H620S,BTTLNU80T14A345V,BTTMRN94H24A345N
LCNBTL02R27H620D,Bartolomeo,Luconi,2002-10-27,M,ROVIGO,LCNLRC77B01H620S,BTTLNU80T14A345V,RCNJSC94P14G388B
LCNLRZ01L11H620Y,Lucrezia,Luconi,2001-07-11,F,ROVIGO,LCNLRC77B01H620S,BTTLNU80T14A345V,BNNGBR00D16E715L
BTTNSC00S28A345O,Natascia,Botta',2000-11-28,F,L'AQUILA,BTTRND79P09A345R,LCNRLA76B16H620H,LCNPQN00D07H620G
BTTCPI02C16A345Q,Iacopo,Botta',2002-03-16,M,L'AQUILA,BTTRND79P09A345R,LCNRLA76B16H620H,PTRWNN85R03E648K
LVNBRT99M19E281E,Berta,Laviani,1999-08-19,F,IGLESIAS,LVNNZE79R07E281X,LCNLLL76L27H620T,MRGVNT00B19D223U
LVNGDE00A31E281G,Egidio,Laviani,2000-01-31,M,IGLESIAS,LVNNZE79R07E281X,LCNLLL76L27H620T,PTRCSN02H28E648K
RCNDRN95C08G388O,Adriano,Recina,1995-03-08,M,PAVIA,RCNGFR77D05G388U,LCNMTN77P19H620J,RCNMND99C17G388C
RCNGNI96T18G388J,Igino,Recina,1996-12-18,M,PAVIA,RCNGFR77D05G388U,LCNMTN77P19H620J,BTTWNN02C30A345U
LCNFLC01P08H620I,Felice,Luconi,2001-09-08,M,ROVIGO,LCNGDU81L02H620J,RCNSLL75R11G388E,PTRVTR99M16E648G
LCNBNR02C05H620G,Bernardo,Luconi,2002-03-05,M,ROVIGO,LCNGDU81L02H620J,RCNSLL75R11G388E,LCNVNC01E04H620K
LCNCMB00B03H620C,Colomba,Luconi,2000-02-03,F,ROVIGO,LCNGDU81L02H620J,RCNSLL75R11G388E,RCNNNI02D07G388I
LCNRGN00T04H620Q,Regina,Luconi,2000-12-04,F,ROVIGO,LCNGDU81L02H620J,RCNSLL75R11G388E,LBRMRZ01L26A794M
LBRLVO01P07A794B,Olivia,Alberici,2001-09-07,F,BERGAMO,LBRGLL78T10A794G,RCNPML76T26G388M,BNNCTN00P21E715Z
LBRNDR99B06A794A,Andrea,Alberici,1999-02-06,M,BERGAMO,LBRGLL78T10A794G,RCNPML76T26G388M,RCNCLL99S02G388E
LBRMNL02E01A794Z,Emanuele,Alberici,2002-05-01,M,BERGAMO,LBRGLL78T10A794G,RCNPML76T26G388M,LCNGTV00L14H620D
LCNNSC01H23H620C,Natascia,Luconi,2001-06-23,F,ROVIGO,LCNMRG79H27H620J,RCNCST78P21G388D,RCNRMN02H13G388Q
LCNLNZ01R09H620I,Lorenzo,Luconi,2001-10-09,M,ROVIGO,LCNMRG79H27H620J,RCNCST78P21G388D,RCNSNT01R19G388D
LCNSDR01L31H620Y,Sandro,Luconi,2001-07-31,M,ROVIGO,LCNMRG79H27H620J,RCNCST78P21G388D,PTRTNI85R18E648P
LCNTTV02D10H620N,Ottavio,Luconi,2002-04-10,M,ROVIGO,LCNMRG79H27H620J,RCNCST78P21G388D,RCNLRT97R22G388V
LCNLSS01E18H620T,Larissa,Luconi,2001-05-18,F,ROVIGO,LCNMRG79H27H620J,RCNCST78P21G388D,MRGSLV00R16D223F
LBRCLR96C31A794C,Clara,Alberici,1996-03-31,F,BERGAMO,LBRSVT78H20A794K,RCNMLL78M13G388S,RCNSCN01B16G388U
LBRGRD95E25A794L,Gerardo,Alberici,1995-05-25,M,BERGAMO,LBRSVT78H20A794K,RCNMLL78M13G388S,RCNSTN94R05G388F
LBRTNO96S23A794T,Tonia,Alberici,1996-11-23,F,BERGAMO,LBRSVT78H20A794K,RCNMLL78M13G388S,RCNBNT94H06G388L
PTRTRS02R20E648B,Teresa,Pietro,2002-10-20,F,LODI,PTRSCN80R22E648M,RCNMME74D25G388R,MRGNDR99R05D223Z
RCNDRS00T24G388V,Doris,Recina,2000-12-24,F,PAVIA,RCNMRN78P04G388K,BNNVNN79H28E715E,LVNGBB00T26E281X
RCNNRO02A13G388N,Nora,Recina,2002-01-13,F,PAVIA,RCNMRN78P04G388K,BNNVNN79H28E715E,BNRLCL99A12G478W
RCNSCN01B16G388U,Ascanio,Recina,2001-02-16,M,PAVIA,RCNMRN78P04G388K,BNNVNN79H28E715E,LBRCLR96C31A794C
RCNLNI01L25G388A,Lina,Recina,2001-07-25,F,PAVIA,RCNMRN78P04G388K,BNNVNN79H28E715E,BTTLEO99P02A345Z
LVNPRZ01P05E281Y,Patrizia,Laviani,2001-09-05,F,IGLESIAS,LVNGIA81T19E281N,BNNSRA82D03E715Z,BNRCTN94B28G478H
LVNMND00B15E281I,Miranda,Laviani,2000-02-15,F,IGLESIAS,LVNGIA81T19E281N,BNNSRA82D03E715Z,BNNLNZ99E17E715Z
BNNDLA05L27E715A,Adele,Beneincasa,2005-07-27,F,LUCCA,BNNMRC81M21E715A,BNNMLA83R16E715A,
BNNCSG05E20E715C,Consiglia,Beneincasa,2005-05-20,F,LUCCA,BNNMRC81M21E715A,BNNMLA83R16E715A,
PTRFRZ00M17E648R,Fabrizia,Pietro,2000-08-17,F,LODI,PTRRCL74L29E648X,BNNSDI78S26E715Z,BTTLLL97B18A345B
BNNLNE01D30E715M,Leone,Beneincasa,2001-04-30,M,LUCCA,BNNCTN82L15E715G,BNRCSG75T20G478R,BNRGDE94S01G478M
BNNCTN00P21E715Z,Costanzo,Beneincasa,2000-09-21,M,LUCCA,BNNCTN82L15E715G,BNRCSG75T20G478R,LBRLVO01P07A794B
BNNNSC01R11E715C,Natascia,Beneincasa,2001-10-11,F,LUCCA,BNNCTN82L15E715G,BNRCSG75T20G478R,BNNRND02L07E715C
BNNGBR00D16E715L,Gilberto,Beneincasa,2000-04-16,M,LUCCA,BNNCTN82L15E715G,BNRCSG75T20G478R,LCNLRZ01L11H620Y
BNNLBA00L01E715G,Alba,Beneincasa,2000-07-01,F,LUCCA,BNNVGN79H20E715H,BNRSNN76A24G478S,PTRTLL99T05E648H
BNNTEA01C23E715I,Tea,Beneincasa,2001-03-23,F,LUCCA,BNNVGN79H20E715H,BNRSNN76A24G478S,MRGLRT99P01D223I
BNNRND02L07E715C,Armando,Beneincasa,2002-07-07,M,LUCCA,BNNVGN79H20E715H,BNRSNN76A24G478S,BNNNSC01R11E715C
BNNTTV02L10E715B,Ottavio,Beneincasa,2002-07-10,M,LUCCA,BNNVGN79H20E715H,BNRSNN76A24G478S,LBRMCL02R24A794U
BNNLNZ99E17E715Z,Lorenzo,Beneincasa,1999-05-17,M,LUCCA,BNNVGN79H20E715H,BNRSNN76A24G478S,LVNMND00B15E281I
BTTPNI02L14A345N,Pino,Botta',2002-07-14,M,L'AQUILA,BTTZEI76S17A345W,BNNMGH79B16E715O,MRGLSE01B23D223B
RCNQRN03S30G388X,Quirino,Recina,2003-11-30,M,PAVIA,RCNGAI83H12G388A,BNNPLP78S22E715Q,
RCNBRN05A31G388Y,Bruno,Recina,2005-01-31,M,PAVIA,RCNGAI83H12G388A,BNNPLP78S22E715Q,
LCNDLA99A27H620E,Adele,Luconi,1999-01-27,F,ROVIGO,LCNBRM82L18H620N,BNNCST79C30E715G,PTRNNZ99L16E648Y
LCNLCN99B02H620L,Luciana,Luconi,1999-02-02,F,ROVIGO,LCNBRM82L18H620N,BNNCST79C30E715G,LBRRNL01D11A794C
PTRMNL05S06E648S,Emanuela,Pietro,2005-11-06,F,LODI,PTRRNR83P25E648K,BNRSNO77P22G478S,
PTRMRN05B26E648Y,Mirena,Pietro,2005-02-26,F,LODI,PTRRNR83P25E648K,BNRSNO77P22G478S,
PTRPLN05T03E648B,Paolina,Pietro,2005-12-03,F,LODI,PTRRNR83P25E648K,BNRSNO77P22G478S,
LCNRLL02A02H620O,Rosella,Luconi,2002-01-02,F,ROVIGO,LCNBLD80R24H620T,PTRLRT81R14E648S,RCNDNT94H26G388P
LCNGTV00L14H620D,Gustava,Luconi,2000-07-14,F,ROVIGO,LCNBLD80R24H620T,PTRLRT81R14E648S,LBRMNL02E01A794Z
LCNLBN99L03H620M,Albina,Luconi,1999-07-03,F,ROVIGO,LCNBLD80R24H620T,PTRLRT81R14E648S,BNRSMN97D08G478J
PTRLDR02S12E648Y,Leandro,Pietro,2002-11-12,M,LODI,PTRFRZ64B19E648V,LVNMRZ82R06E281V,BNRSLL99S18G478B
RCNDLM06H11G388K,Adelmo,Recina,2006-06-11,M,PAVIA,RCNCRI78L14G388X,LVNCLR83A20E281H,
RCNDTR04D12G388S,Demetrio,Recina,2004-04-12,M,PAVIA,RCNCRI78L14G388X,LVNCLR83A20E281H,
RCNSVS06A29G388R,Silvestro,Recina,2006-01-29,M,PAVIA,RCNCRI78L14G388X,LVNCLR83A20E281H,
RCNLMP02S21G388B,Olimpia,Recina,2002-11-21,F,PAVIA,RCNCRI78L14G388X,LVNCLR83A20E281H,
RCNDLA03R24G388W,Adele,Recina,2003-10-24,F,PAVIA,RCNCRI78L14G388X,LVNCLR83A20E281H,
LVNGDE05A17E281A,Egidia,Laviani,2005-01-17,F,IGLESIAS,LVNLRT80E10E281A,LCNFLV83D02H620L,
LVNGRD03T12E281Z,Gerardo,Laviani,2003-12-12,M,IGLESIAS,LVNLRT80E10E281A,LCNFLV83D02H620L,
LBRRNL01D11A794C,Reginaldo,Alberici,2001-04-11,M,BERGAMO,LBRNRC76T27A794X,LVNCML80E28E281M,LCNLCN99B02H620L
LBRMRC01B19A794Q,Americo,Alberici,2001-02-19,M,BERGAMO,LBRNRC76T27A794X,LVNCML80E28E281M,LBRMME00H02A794B
PTRZRA21D11E648P,Zara,Pietro,2021-04-11,F,LODI,PTRSLV00M02E648J,BNNRCC01L15E715I,
PTRLCL22D02E648O,Lucilio,Pietro,2022-04-02,M,LODI,PTRSLV00M02E648J,BNNRCC01L15E715I,
LCNCSN22M19H620V,Cassandra,Luconi,2022-08-19,F,ROVIGO,LCNLNZ01R09H620I,RCNSNT01R19G388D,
LCNPRL21A06H620D,Perla,Luconi,2021-01-06,F,ROVIGO,LCNLNZ01R09H620I,RCNSNT01R19G388D,
LBRCSM20L09A794A,Cosima,Alberici,2020-07-09,F,BERGAMO,LBRNDR99B06A794A,RCNCLL99S02G388E,
LBRSML20E20A794I,Samuela,Alberici,2020-05-20,F,BERGAMO,LBRNDR99B06A794A,RCNCLL99S02G388E,
BNRLIO20T09G478Q,Iole,Buonarrota,2020-12-09,F,PERUGIA,BNRNDR00L15G478O,RCNSNO01P11G388Y,
BNRRCL20T08G478D,Ercole,Buonarrota,2020-12-08,M,PERUGIA,BNRNDR00L15G478O,RCNSNO01P11G388Y,
RCNTST19R08G388A,Tristano,Recina,2019-10-08,M,PAVIA,RCNDRN95C08G388O,RCNMND99C17G388C,
LCNBRM22R14H620T,Abramo,Luconi,2022-10-14,M,ROVIGO,LCNFLC01P08H620I,PTRVTR99M16E648G,
RCNMDA18S21G388H,Amedeo,Recina,2018-11-21,M,PAVIA,RCNVVN98L05G388E,LVNLSE00M30E281I,
LCNFLV21P05H620Z,Flavio,Luconi,2021-09-05,M,ROVIGO,LCNLFA00H23H620Y,BRTGTN00S21G482D,
LCNGCH22B09H620T,Gioacchino,Luconi,2022-02-09,M,ROVIGO,LCNLFA00H23H620Y,BRTGTN00S21G482D,
LBRRSL21B14A794A,Rossella,Alberici,2021-02-14,F,BERGAMO,LBRMRC01B19A794Q,LBRMME00H02A794B,
RCNGRL21T26G388C,Gabriele,Recina,2021-12-26,M,PAVIA,RCNRST00S27G388U,BTTVTR97B27A345A,
LBRGUO20A18A794G,Ugo,Alberici,2020-01-18,M,BERGAMO,LBRRST00R14A794L,RCNFPP97B25G388G,
MRGDRD19B23D223V,Edoardo,Merighetto,2019-02-23,M,CUSIO,MRGCPI00S13D223X,RCNGNS98B28G388I,
MRGMRC20H04D223Q,Marco,Merighetto,2020-06-04,M,CUSIO,MRGCPI00S13D223X,RCNGNS98B28G388I,
LCNRNI22D18H620A,Irene,Luconi,2022-04-18,F,ROVIGO,LCNBTL02R27H620D,RCNJSC94P14G388B,
LCNSLV22H03H620V,Silvio,Luconi,2022-06-03,M,ROVIGO,LCNBTL02R27H620D,RCNJSC94P14G388B,
BNNMRK22A29E715Z,Mirko,Beneincasa,2022-01-29,M,LUCCA,BNNTTV02L10E715B,LBRMCL02R24A794U,
BNNFMN22B06E715W,Flaminio,Beneincasa,2022-02-06,M,LUCCA,BNNTTV02L10E715B,LBRMCL02R24A794U,
BNRQRN21T06G478E,Quirino,Buonarrota,2021-12-06,M,PERUGIA,BNRLRD95T02G478Z,RCNLIA02C31G388H,
BNRSNT21D18G478W,Samantha,Buonarrota,2021-04-18,F,PERUGIA,BNRLRD95T02G478Z,RCNLIA02C31G388H,
RCNLIA21T01G388Q,Lia,Recina,2021-12-01,F,PAVIA,RCNGRT02H06G388I,MRGLNE01T10D223Q,
RCNCTN21P18G388Y,Cateno,Recina,2021-09-18,M,PAVIA,RCNGRT02H06G388I,MRGLNE01T10D223Q,
BTTLCA22C07A345Y,Alceo,Botta',2022-03-07,M,L'AQUILA,BTTRRT99D19A345E,RCNPSQ01E06G388J,
BNRCRN19H18G478B,Caterino,Buonarrota,2019-06-18,M,PERUGIA,BNRGTR98E18G478B,RCNMRN00S13G388U,
BNRBNC19P01G478T,Bianca,Buonarrota,2019-09-01,F,PERUGIA,BNRGTR98E18G478B,RCNMRN00S13G388U,
MRGRSR21D30D223A,Rosaria,Merighetto,2021-04-30,F,CUSIO,MRGMLT00C12D223K,BTTTSC01C10A345V,
PTRCLN21D19E648W,Carolina,Pietro,2021-04-19,F,LODI,PTRMTT01D19E648S,BTTSLL98T10A345F,
PTRNZE22M10E648J,Enza,Pietro,2022-08-10,F,LODI,PTRMTT01D19E648S,BTTSLL98T10A345F,
RCNSML21L30G388B,Samuela,Recina,2021-07-30,F,PAVIA,RCNRND01H30G388D,BTTGLD02C13A345I,
RCNDLN22H28G388F,Adelina,Recina,2022-06-28,F,PAVIA,RCNGNI96T18G388J,BTTWNN02C30A345U,
RCNGLL22P12G388D,Galileo,Recina,2022-09-12,M,PAVIA,RCNGNI96T18G388J,BTTWNN02C30A345U,
MRGYNN22A08D223V,Yvonne,Merighetto,2022-01-08,F,CUSIO,MRGLMO01L01D223M,RCNMIA94M30G388S,
LBRTDD18H28A794T,Taddeo,Alberici,2018-06-28,M,BERGAMO,LBRGRD95E25A794L,RCNSTN94R05G388F,
LBRRBN13T05A794E,Rubina,Alberici,2013-12-05,F,BERGAMO,LBRGRD95E25A794L,RCNSTN94R05G388F,
BTTCST20T09A345A,Cristofora,Botta',2020-12-09,F,L'AQUILA,BTTCPI02C16A345Q,PTRWNN85R03E648K,
BTTRBN22E11A345A,Rubina,Botta',2022-05-11,F,L'AQUILA,BTTCPI02C16A345Q,PTRWNN85R03E648K,
LBRSFO21L24A794K,Sofia,Alberici,2021-07-24,F,BERGAMO,LBRFNN02C02A794V,LVNCSR02M25E281Z,
BNRLBT22M10G478P,Elisabetta,Buonarrota,2022-08-10,F,PERUGIA,BNRMLN94A31G478Q,LVNFLR02H26E281V,
PTRGSI19S26E648G,Giosuè,Pietro,2019-11-26,M,LODI,PTRGTR84C09E648C,LVNSNT98S28E281Z,
RCNCST17A04G388Q,Cristiano,Recina,2017-01-04,M,PAVIA,RCNLCU93S22G388T,BNRLRT95M20G478R,
BNRLLE22P16G478D,Lelio,Buonarrota,2022-09-16,M,PERUGIA,BNRLND99A07G478O,MRGGDI02B09D223I,
MRGLNI22B28D223E,Ilenia,Merighetto,2022-02-28,F,CUSIO,MRGSML02L15D223F,BNRMCL98E23G478H,
MRGCSS20T15D223C,Cassio,Merighetto,2020-12-15,M,CUSIO,MRGSML02L15D223F,BNRMCL98E23G478H,
BTTGRZ20S16A345Z,Grazia,Botta',2020-11-16,F,L'AQUILA,BTTMTN00T13A345P,MRGVDN00S08D223K,
BTTLCU21P18A345S,Lucio,Botta',2021-09-18,M,L'AQUILA,BTTPNI02L14A345N,MRGLSE01B23D223B,
BTTDLE22E04A345P,Delia,Botta',2022-05-04,F,L'AQUILA,BTTPNI02L14A345N,MRGLSE01B23D223B,
BNRLNE22H19G478N,Leone,Buonarrota,2022-06-19,M,PERUGIA,BNRMCR97A02G478A,MRGPSC02E08D223X,
MRGZTI21C13D223D,Zita,Merighetto,2021-03-13,F,CUSIO,MRGCRI99T08D223S,LCNRLN02E19H620P,
LCNSDR21A23H620F,Isidora,Luconi,2021-01-23,F,ROVIGO,LCNBNR02C05H620G,LCNVNC01E04H620K,
LCNMLD21A14H620J,Matilde,Luconi,2021-01-14,F,ROVIGO,LCNBNR02C05H620G,LCNVNC01E04H620K,
LVNMRT22D20E281O,Ombretta,Laviani,2022-04-20,F,IGLESIAS,LVNGDE00A31E281G,PTRCSN02H28E648K,
LVNDRN22H20E281J,Adriana,Laviani,2022-06-20,F,IGLESIAS,LVNGDE00A31E281G,PTRCSN02H28E648K,
LBRLNS20S16A794A,Alfonsino,Alberici,2020-11-16,M,BERGAMO,LBRCST98T06A794J,BNRMIA02B22G478Z,
LBRMSM22R01A794V,Massimiliana,Alberici,2022-10-01,F,BERGAMO,LBRCST98T06A794J,BNRMIA02B22G478Z,
RCNGRM20H08G388H,Geremia,Recina,2020-06-08,M,PAVIA,RCNGLN98B01G388S,LBRLSN00E28A794L,
LBRRCC22A01A794C,Rocco,Alberici,2022-01-01,M,BERGAMO,LBRDCC02B24A794U,LBRLCA00D30A794Y,
LBRTTV21S28A794L,Ottavio,Alberici,2021-11-28,M,BERGAMO,LBRDCC02B24A794U,LBRLCA00D30A794Y,
PTRLVC21T08E648E,Ludovica,Pietro,2021-12-08,F,LODI,PTRMTN01D28E648L,LBRCDD02L16A794F,
PTRNEE21T05E648B,Enea,Pietro,2021-12-05,M,LODI,PTRMTN01D28E648L,LBRCDD02L16A794F,
BNNCCT21P02E715E,Concetta,Beneincasa,2021-09-02,F,LUCCA,BNNGBR00D16E715L,LCNLRZ01L11H620Y,
LBRLHN21R13A794H,Luchino,Alberici,2021-10-13,M,BERGAMO,LBRMRZ01L26A794M,LCNRGN00T04H620Q,
LBRLDA21E02A794I,Alda,Alberici,2021-05-02,F,BERGAMO,LBRMRZ01L26A794M,LCNRGN00T04H620Q,
BNNLSN22R16E715F,Alessandra,Beneincasa,2022-10-16,F,LUCCA,BNNCTN00P21E715Z,LBRLVO01P07A794B,
BNNSFN22R01E715X,Stefania,Beneincasa,2022-10-01,F,LUCCA,BNNCTN00P21E715Z,LBRLVO01P07A794B,
RCNDLA21C20G388N,Dalia,Recina,2021-03-20,F,PAVIA,RCNRMN02H13G388Q,LCNNSC01H23H620C,
RCNCLO22C08G388R,Cloe,Recina,2022-03-08,F,PAVIA,RCNRMN02H13G388Q,LCNNSC01H23H620C,
MRGNTL21T26D223M,Natale,Merighetto,2021-12-26,M,CUSIO,MRGSLV00R16D223F,LCNLSS01E18H620T,
MRGGZZ20T21D223M,Galeazzo,Merighetto,2020-12-21,M,CUSIO,MRGSLV00R16D223F,LCNLSS01E18H620T,
RCNRHL21L27G388O,Rachele,Recina,2021-07-27,F,PAVIA,RCNSCN01B16G388U,LBRCLR96C31A794C,
LVNCPI22L08E281B,Iacopo,Laviani,2022-07-08,M,IGLESIAS,LVNGBB00T26E281X,RCNDRS00T24G388V,
LVNSCN22L20E281I,Ascanio,Laviani,2022-07-20,M,IGLESIAS,LVNGBB00T26E281X,RCNDRS00T24G388V,
BTTVCN22P25A345R,Vincenzina,Botta',2022-09-25,F,L'AQUILA,BTTLEO99P02A345Z,RCNLNI01L25G388A,
BTTNNA21T24A345R,Anna,Botta',2021-12-24,F,L'AQUILA,BTTLEO99P02A345Z,RCNLNI01L25G388A,
BNRGTN21M25G478E,Gaetano,Buonarrota,2021-08-25,M,PERUGIA,BNRCTN94B28G478H,LVNPRZ01P05E281Y,
BNNGVR20E22E715S,Ginevra,Beneincasa,2020-05-22,F,LUCCA,BNNLNZ99E17E715Z,LVNMND00B15E281I,
BTTLFA19P13A345X,Alfo,Botta',2019-09-13,M,L'AQUILA,BTTLLL97B18A345B,PTRFRZ00M17E648R,
PTRLNS18S23E648U,Alfonso,Pietro,2018-11-23,M,LODI,PTRTLL99T05E648H,BNNLBA00L01E715G,
MRGGTN22M10D223X,Giustiniano,Merighetto,2022-08-10,M,CUSIO,MRGLRT99P01D223I,BNNTEA01C23E715I,
MRGMLA21E29D223R,Amalia,Merighetto,2021-05-29,F,CUSIO,MRGLRT99P01D223I,BNNTEA01C23E715I,
LBRMNL21L10A794Z,Emanuele,Alberici,2021-07-10,M,BERGAMO,LBRRNL01D11A794C,LCNLCN99B02H620L,
LBRGNR21S13A794N,Gennaro,Alberici,2021-11-13,M,BERGAMO,LBRRNL01D11A794C,LCNLCN99B02H620L,
RCNMRC21A04G388E,Americo,Recina,2021-01-04,M,PAVIA,RCNDNT94H26G388P,LCNRLL02A02H620O,
RCNNNI21H28G388Z,Nino,Recina,2021-06-28,M,PAVIA,RCNDNT94H26G388P,LCNRLL02A02H620O,
BNRPLT18T29G478P,Ippolito,Buonarrota,2018-12-29,M,PERUGIA,BNRSMN97D08G478J,LCNLBN99L03H620M,
BNRSLL19A30G478F,Stella,Buonarrota,2019-01-30,F,PERUGIA,BNRSMN97D08G478J,LCNLBN99L03H620M,
NFRCLN51T11H282C,Carolina,Onofrio,1951-12-11,F,RIETI,,,LBRLRC57C31H282J
CSASLM52H03D643W,Selma,Causio,1952-06-03,F,FOGGIA,,,PGLGPP53R14B180D
MRABND53E16L750F,Abbondio,Aimar,1953-05-16,M,VERCELLI,,,LDDMME58C17L750W
CRBMND50T28A182O,Amanda,Cerbai,1950-12-28,F,ALESSANDRIA,,,DNDSCR50S02A182G
CLSBRN53R01F205T,Bruno,Colasurdo,1953-10-01,M,MILANO,,,FRTSNT55B11A662Q
